#FID IID
1446307 1446307
4435607 4435607
3251572 3251572
3038001 3038001
5616185 5616185
2891902 2891902
4644688 4644688
4923535 4923535
4395606 4395606
3302933 3302933
1186589 1186589
3039739 3039739
4880689 4880689
5905357 5905357
1066247 1066247
4843298 4843298
3332831 3332831
4419347 4419347
2443767 2443767
2585544 2585544
2182643 2182643
1207107 1207107
3117969 3117969
5015701 5015701
4783467 4783467
2379141 2379141
1694260 1694260
3431452 3431452
4034619 4034619
5581730 5581730
4569528 4569528
4037369 4037369
2081853 2081853
4961854 4961854
5577391 5577391
1019776 1019776
3975118 3975118
4844382 4844382
3732414 3732414
2579052 2579052
5144363 5144363
3066604 3066604
1025977 1025977
3379147 3379147
4091659 4091659
3732949 3732949
5924538 5924538
1603441 1603441
4395631 4395631
2419203 2419203
4821219 4821219
5252866 5252866
4653388 4653388
4387412 4387412
3199305 3199305
1717860 1717860
3846280 3846280
6024727 6024727
2825319 2825319
3845192 3845192
5002038 5002038
2684207 2684207
2968879 2968879
4414873 4414873
3750179 3750179
3421455 3421455
5676627 5676627
5706979 5706979
5536752 5536752
4147639 4147639
1107218 1107218
4815188 4815188
4883776 4883776
1789113 1789113
3430633 3430633
5792286 5792286
1015525 1015525
5754087 5754087
2547435 2547435
3548003 3548003
2256280 2256280
4561932 4561932
2861578 2861578
4431292 4431292
1308471 1308471
2528008 2528008
5842503 5842503
3657232 3657232
3812108 3812108
4768358 4768358
2790544 2790544
3744393 3744393
1123450 1123450
3953323 3953323
4907078 4907078
4405014 4405014
3676527 3676527
4516624 4516624
1914818 1914818
4040024 4040024
3874355 3874355
2032011 2032011
2387386 2387386
2655572 2655572
1318370 1318370
4302689 4302689
4087623 4087623
5785871 5785871
3851227 3851227
4673864 4673864
1856722 1856722
3670751 3670751
3770946 3770946
5095461 5095461
4190717 4190717
4323099 4323099
2812402 2812402
5371309 5371309
1943738 1943738
2083223 2083223
3440349 3440349
4754070 4754070
2117665 2117665
5631609 5631609
5908151 5908151
5545481 5545481
2397781 2397781
3054174 3054174
3657496 3657496
3849031 3849031
3454169 3454169
3403468 3403468
4563040 4563040
2749732 2749732
4658215 4658215
2623324 2623324
2028141 2028141
2980292 2980292
2509604 2509604
2416360 2416360
4191988 4191988
3990483 3990483
3207555 3207555
2600541 2600541
3371691 3371691
4762158 4762158
4966792 4966792
5801998 5801998
2298474 2298474
5869496 5869496
4844600 4844600
2429426 2429426
1095965 1095965
3223746 3223746
2394049 2394049
3416536 3416536
1847181 1847181
5709356 5709356
4451801 4451801
5632041 5632041
5048364 5048364
3963594 3963594
1686738 1686738
5552096 5552096
1591906 1591906
2526922 2526922
1464241 1464241
4986287 4986287
5135200 5135200
1436067 1436067
1956909 1956909
2572461 2572461
3071762 3071762
4617226 4617226
3914555 3914555
4976655 4976655
1086793 1086793
5433504 5433504
1159500 1159500
1679859 1679859
1797843 1797843
4815114 4815114
1382342 1382342
2645454 2645454
2049663 2049663
2332704 2332704
4322208 4322208
3370800 3370800
1479841 1479841
1460195 1460195
4655587 4655587
5732301 5732301
1713979 1713979
2008313 2008313
2115321 2115321
2564188 2564188
3194808 3194808
4002743 4002743
5774614 5774614
2147501 2147501
1172383 1172383
3340438 3340438
3166676 3166676
1169753 1169753
4723183 4723183
5190764 5190764
5257011 5257011
2285934 2285934
6007268 6007268
2783460 2783460
3395583 3395583
1543326 1543326
5880400 5880400
1737956 1737956
3254557 3254557
3379276 3379276
5344894 5344894
3080945 3080945
1887523 1887523
2473012 2473012
1536053 1536053
3719915 3719915
2664808 2664808
4905990 4905990
3836647 3836647
1874898 1874898
3957427 3957427
4757931 4757931
2132850 2132850
3617970 3617970
2495713 2495713
2194666 2194666
4544232 4544232
6013576 6013576
5290948 5290948
3720161 3720161
2625242 2625242
5301081 5301081
4563227 4563227
5978053 5978053
4124169 4124169
5177475 5177475
5581378 5581378
3309633 3309633
4396670 4396670
2200230 2200230
1967756 1967756
2350946 2350946
5488172 5488172
2004552 2004552
3615786 3615786
4885615 4885615
2099591 2099591
1660359 1660359
4724099 4724099
5829310 5829310
4441225 4441225
5405104 5405104
5132908 5132908
1018597 1018597
2074471 2074471
4655040 4655040
1875317 1875317
2263376 2263376
5932587 5932587
4236857 4236857
1372268 1372268
5898780 5898780
3847637 3847637
4068517 4068517
1498371 1498371
3788351 3788351
3827838 3827838
1620737 1620737
5566879 5566879
2197166 2197166
2638697 2638697
2228917 2228917
4557924 4557924
2323529 2323529
1983389 1983389
5678397 5678397
5469785 5469785
2387722 2387722
5528398 5528398
4336657 4336657
4565115 4565115
1191275 1191275
1400551 1400551
2179398 2179398
4345508 4345508
2318863 2318863
2072115 2072115
2066193 2066193
3608208 3608208
3767080 3767080
4224870 4224870
2649611 2649611
2185103 2185103
2586999 2586999
1551554 1551554
2700351 2700351
2487733 2487733
4611661 4611661
3145074 3145074
4814652 4814652
1280977 1280977
5808499 5808499
4678846 4678846
3497298 3497298
5665902 5665902
1552855 1552855
2797266 2797266
2383832 2383832
2109785 2109785
2675799 2675799
5781825 5781825
4421513 4421513
3785781 3785781
6021260 6021260
1464606 1464606
3975488 3975488
1691202 1691202
5026590 5026590
5033462 5033462
3415229 3415229
4634485 4634485
5867881 5867881
1783324 1783324
3548880 3548880
2650790 2650790
1207924 1207924
5472542 5472542
5747292 5747292
5932961 5932961
2612172 2612172
1853510 1853510
2545874 2545874
5434944 5434944
2673753 2673753
3119136 3119136
3735800 3735800
4050579 4050579
3663308 3663308
2672998 2672998
4514550 4514550
3484140 3484140
2472430 2472430
3752829 3752829
5341143 5341143
5791504 5791504
2740738 2740738
3715650 3715650
4082485 4082485
4250857 4250857
4252992 4252992
2793764 2793764
5328899 5328899
3849167 3849167
3071455 3071455
5197621 5197621
4204579 4204579
4372768 4372768
5697007 5697007
5939308 5939308
1851021 1851021
2066491 2066491
1215114 1215114
3590742 3590742
3130905 3130905
4854484 4854484
1317229 1317229
2894546 2894546
3193609 3193609
3708507 3708507
5579160 5579160
2206034 2206034
2045714 2045714
2811374 2811374
4909366 4909366
4333245 4333245
5085221 5085221
5797607 5797607
3842514 3842514
1924418 1924418
3157253 3157253
3783850 3783850
1807773 1807773
4513536 4513536
1713054 1713054
4839453 4839453
5581641 5581641
1973532 1973532
4289439 4289439
1218769 1218769
5348886 5348886
5099443 5099443
5890997 5890997
4201764 4201764
1531874 1531874
3501991 3501991
4924547 4924547
5496885 5496885
5709172 5709172
1050173 1050173
5468675 5468675
3540618 3540618
1531185 1531185
3574903 3574903
2531625 2531625
2204658 2204658
1102529 1102529
2912877 2912877
3250229 3250229
2811342 2811342
5310811 5310811
3063373 3063373
4305632 4305632
2838117 2838117
4852835 4852835
1898841 1898841
5541007 5541007
1521450 1521450
2126721 2126721
3645169 3645169
2765898 2765898
5494073 5494073
3847831 3847831
5990904 5990904
3161581 3161581
2923445 2923445
4329248 4329248
1007200 1007200
2402029 2402029
5544144 5544144
3814626 3814626
2043157 2043157
3613520 3613520
5468398 5468398
5055966 5055966
3866238 3866238
5635814 5635814
2547747 2547747
3710089 3710089
5793045 5793045
5939195 5939195
4529323 4529323
2179754 2179754
2850456 2850456
1564213 1564213
4916955 4916955
3235214 3235214
4433572 4433572
1657224 1657224
4429435 4429435
2651755 2651755
3695710 3695710
2920241 2920241
4218462 4218462
2037444 2037444
2665922 2665922
1076867 1076867
4004910 4004910
5789495 5789495
2306370 2306370
4013395 4013395
2387067 2387067
3043042 3043042
5323786 5323786
3430928 3430928
1795825 1795825
1967646 1967646
3652614 3652614
2344824 2344824
1930882 1930882
2947803 2947803
3115700 3115700
5791860 5791860
1272563 1272563
4266318 4266318
4948417 4948417
5590729 5590729
5344049 5344049
1027319 1027319
5338080 5338080
1637621 1637621
2508431 2508431
2895712 2895712
2509961 2509961
3448039 3448039
5653270 5653270
2907370 2907370
3852123 3852123
2702671 2702671
3398637 3398637
5367995 5367995
4912463 4912463
4941337 4941337
1640803 1640803
2585338 2585338
2163643 2163643
5533952 5533952
3466885 3466885
4828928 4828928
1282292 1282292
1837200 1837200
5212145 5212145
1278831 1278831
5414902 5414902
1294154 1294154
3214440 3214440
5897292 5897292
3262038 3262038
5012104 5012104
3816912 3816912
4496171 4496171
4756599 4756599
2460246 2460246
4534103 4534103
3671051 3671051
2003680 2003680
2016332 2016332
1443644 1443644
4104484 4104484
2801653 2801653
2789142 2789142
4413931 4413931
3451108 3451108
4016599 4016599
3643624 3643624
6012797 6012797
2289690 2289690
2392354 2392354
1669783 1669783
1020879 1020879
1922168 1922168
5650620 5650620
4245965 4245965
3302916 3302916
3278558 3278558
3105624 3105624
4616935 4616935
2186197 2186197
5646164 5646164
2544112 2544112
5456492 5456492
3211731 3211731
4897329 4897329
4234597 4234597
5415123 5415123
1399267 1399267
4917742 4917742
2801814 2801814
5772422 5772422
5473654 5473654
2233365 2233365
2829994 2829994
4821845 4821845
1454643 1454643
3139105 3139105
4482091 4482091
3169974 3169974
1578086 1578086
3384322 3384322
4020612 4020612
1859029 1859029
1823080 1823080
5634812 5634812
3452292 3452292
4713430 4713430
4522976 4522976
2464145 2464145
2133186 2133186
3843193 3843193
3493391 3493391
4756910 4756910
6015498 6015498
2892716 2892716
2458602 2458602
3193854 3193854
4841670 4841670
5545831 5545831
1084133 1084133
4425968 4425968
5505163 5505163
2690197 2690197
3848028 3848028
2443736 2443736
4963186 4963186
1487298 1487298
5366729 5366729
3607245 3607245
1391366 1391366
3453362 3453362
3541784 3541784
4649655 4649655
1924652 1924652
1089358 1089358
2099079 2099079
1347021 1347021
3136286 3136286
4570803 4570803
1029739 1029739
5084670 5084670
4964229 4964229
1176411 1176411
4776690 4776690
2969822 2969822
2939894 2939894
5624363 5624363
2341944 2341944
3165899 3165899
1816933 1816933
2624995 2624995
5745927 5745927
2185187 2185187
4646064 4646064
1659486 1659486
1496568 1496568
1420757 1420757
2286155 2286155
3368505 3368505
4927698 4927698
1977301 1977301
4725343 4725343
2119976 2119976
4568022 4568022
2366878 2366878
1824216 1824216
3765580 3765580
3832493 3832493
5476535 5476535
5186582 5186582
2504628 2504628
5003910 5003910
5872343 5872343
4930126 4930126
4387329 4387329
2775680 2775680
5554204 5554204
2924044 2924044
5569133 5569133
4958378 4958378
1196563 1196563
4226053 4226053
3045325 3045325
4763897 4763897
1029266 1029266
4338670 4338670
1777124 1777124
4923500 4923500
4726541 4726541
1690812 1690812
3613760 3613760
3549668 3549668
2540487 2540487
5740945 5740945
4305398 4305398
5521372 5521372
1916176 1916176
3522176 3522176
2676256 2676256
3602456 3602456
2546228 2546228
3617072 3617072
3191139 3191139
1247372 1247372
2283644 2283644
1732748 1732748
5119725 5119725
1554450 1554450
4167138 4167138
1977507 1977507
2104787 2104787
5950425 5950425
1457699 1457699
4120689 4120689
2157913 2157913
4112414 4112414
2356316 2356316
2645156 2645156
5256002 5256002
5181597 5181597
5018584 5018584
4702612 4702612
2824372 2824372
5275236 5275236
5975218 5975218
3533672 3533672
4104238 4104238
1421338 1421338
5698630 5698630
4491092 4491092
1291529 1291529
4863924 4863924
3000531 3000531
5866499 5866499
2434553 2434553
2501175 2501175
4643408 4643408
4512968 4512968
4703832 4703832
